room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
16619736,1289,65238599,Shared room,,Washington,,Mount Pleasant,0,0.0,1,1.0,,50.0,,2017-05-11 09:38:47.842132,38.935287,-77.03751,0101000020E610000078D15790664253C0DEAF027CB7774340
13878076,1289,2387207,Shared room,,Washington,,Cleveland Park,1,0.0,2,1.0,,50.0,,2017-05-11 09:38:47.834663,38.935485,-77.059807,0101000020E61000009A44BDE0D34353C00473F4F8BD774340
15450025,1289,48368187,Shared room,,Washington,,Glover Park,4,5.0,2,1.0,,45.0,,2017-05-11 09:38:47.829062,38.92715,-77.07348,0101000020E61000003F3A75E5B34453C0423EE8D9AC764340
14470283,1289,87621807,Shared room,,Washington,,Capitol Hill,4,5.0,2,1.0,,50.0,,2017-05-11 09:38:47.823150,38.890951,-76.990228,0101000020E610000058E542E55F3F53C054ABAFAE0A724340
12168587,1289,61362641,Shared room,,Washington,,Brentwood,41,5.0,4,1.0,,49.0,,2017-05-11 09:38:47.818367,38.91209,-77.003552,0101000020E610000077F52A323A4053C01B81785DBF744340
17982390,1289,39874175,Shared room,,Washington,,Deanwood,0,0.0,1,1.0,,45.0,,2017-05-11 09:38:47.805990,38.893962,-76.934919,0101000020E61000002D5A80B6D53B53C0F2EEC8586D724340
17890743,1289,79512940,Shared room,,Washington,,Au-Tenleytown,1,0.0,1,1.0,,40.0,,2017-05-11 09:38:47.803779,38.931346,-77.083425,0101000020E6100000CEAACFD5564553C055A1815836774340
14684678,1289,47703,Shared room,,Washington,,Cleveland Park,28,5.0,1,1.0,,60.0,,2017-05-11 09:38:47.801321,38.937002,-77.057256,0101000020E6100000FCDF1115AA4353C0AF2479AEEF774340
13018502,1289,56885621,Shared room,,Washington,,Adams Morgan,34,5.0,1,1.0,,49.0,,2017-05-11 09:38:46.114186,38.919288,-77.042856,0101000020E6100000FE9B1727BE4253C079CDAB3AAB754340
7759093,1289,40797092,Shared room,,Washington,,Catholic University-Brookland,14,4.5,2,1.0,,50.0,,2017-05-11 09:38:46.111524,38.944373,-77.024549,0101000020E61000009109F835924153C0DA1CE736E1784340
16602007,1289,104992121,Shared room,,Washington,,Capitol Hill,3,4.5,1,1.0,,60.0,,2017-05-11 09:38:46.107902,38.884527,-77.006437,0101000020E6100000001FBC76694053C0E9B6442E38714340
16440066,1289,77631626,Shared room,,Washington,,Foggy Bottom,0,0.0,2,1.0,,60.0,,2017-05-11 09:38:46.104160,38.897113,-77.051727,0101000020E61000007E54C37E4F4353C081E84999D4724340
14705753,1289,67693448,Shared room,,Washington,,Dupont Circle,13,4.5,2,1.0,,44.0,,2017-05-11 09:38:46.101955,38.909477,-77.039127,0101000020E6100000FF58880E814253C06BBB09BE69744340
